"MODELO","Temperatura do Motor","Sistema_Eletrico ","Cambio","Bateria ","Score","Status"
"Ranger XL CD","0.2","1","0.7","0.5","0.825","Bom"
"Bronco Sport","0.1","0.9","1","0.4","0.85","Bom"
"Transit Minibus","0.1","0.9","0.8","0.9","0.825","Bom"
"Territory","0.4","0.8","0.8","1","0.8","Bom"
"Territory","0.1","0","0.5","0.4","0.9","Bom"
"Transit Furgão","0.7","0.4","0","0.9","0.925","Bom"
"Bronco Sport","0.3","0.7","0.6","0.5","0.825","Bom"
"Transit Minibus","0.7","0.8","0.8","0.4","0.825","Bom"
"Territory","0.4","1","0.1","0","0.8","Bom"
"Ranger XL","0.1","0.2","0.3","0.5","0.8","Bom"
"Mustang Mach1","0.9","0","0.3","0.8","0.85","Bom"
"Bronco Sport","0.5","0.4","0.8","0.4","0.8","Bom"
"Bronco Sport","0.4","1","0","0.1","0.825","Bom"
"Ranger XL CD","0.2","0.2","1","0.1","0.85","Bom"
"Bronco Sport","0.8","0.6","0.3","0.7","0.825","Bom"
"Ranger XL CD","0.8","0.2","0.3","0.1","0.85","Bom"
"Ranger XL","0.5","0.8","0.4","0.5","0.975","Bom"
"Transit Minibus","0.4","0.7","0.5","0.5","0.875","Bom"
"Transit Minibus","1","0.3","0.9","0.2","0.925","Bom"
"Bronco Sport","0.9","0.7","1","0.5","0.825","Bom"
"Transit Minibus","0.3","0.6","1","0.7","0.8","Bom"
"Ranger XL CD","0.5","0.9","0","0","0.85","Bom"
"Transit Minibus","0.7","0.9","0.8","0.7","0.925","Bom"
"Transit Minibus","1","0.6","0.7","0.9","0.8","Bom"
"Mustang Mach1","0.1","0.2","1","0.9","0.8","Bom"
"Ranger XL","1","0.1","0.4","0.2","0.825","Bom"
"Transit Furgão","0.3","0.3","0.4","0.1","0.95","Bom"
"Transit Minibus","0.7","0.2","0.1","0.2","0.825","Bom"
"Mustang Mach1","0.6","1","0.1","0","0.85","Bom"
"Bronco Sport","0.5","0.7","0.5","0.8","0.8","Bom"
"Territory","0.1","0.9","0.5","0.2","0.8","Bom"
"Territory","1","0","0.3","0.8","0.875","Bom"
"Ranger XL CD","0.6","0.1","0.4","0.9","0.85","Bom"
"Mustang Mach1","0.8","0","0.5","0.2","0.8","Bom"
"Mustang Mach1","0.9","1","0.7","0.2","0.9","Bom"
"Marick","0.2","0.2","0.9","0.5","0.875","Bom"
"Territory","0.4","0.7","0.9","0.9","0.8","Bom"
"Mustang Mach1","0.6","0.2","1","0.1","0.85","Bom"
"Ranger","1","0.8","0.8","0.2","0.95","Bom"
"Ranger","0.4","0.6","0.7","0.9","0.875","Bom"
"Mustang Mach1","0.7","0.2","0","1","0.825","Bom"
"Ranger XL","0.3","0.8","0.5","1","0.9","Bom"
"Ranger XL CD","0.5","1","0.2","0.7","0.825","Bom"
"Marick","0.1","0.5","0.4","0.5","0.875","Bom"
"Ranger XL","0.9","0.1","0.8","0.6","0.8","Bom"
"Marick","0.2","0.9","0.1","0.2","0.9","Bom"
"Transit Minibus","0.4","0.1","0.7","0.3","0.8","Bom"
"Transit Furgão","0.3","0.7","0.4","0.7","0.8","Bom"
"Ranger XL CD","0.6","0.3","0.3","1","0.95","Bom"
"Territory","1","0","0.3","0.5","0.9","Bom"
"Marick","0.1","0.6","0.8","0.7","0.825","Bom"
"Bronco Sport","1","0.9","0.3","0.3","0.825","Bom"
"Bronco Sport","0.4","0.2","0","0.5","0.85","Bom"
"Mustang Mach1","1","0.8","1","0.2","0.85","Bom"
"Ranger XL","0.8","0.5","0.7","0.7","0.85","Bom"
"Ranger XL","0.9","0.7","0.5","0","0.825","Bom"
"Marick","0.2","0.5","0.2","0","0.925","Bom"
"Ranger","0.3","0.4","1","0.5","0.825","Bom"
"Ranger XL CD","0.5","0.5","0.8","0.3","0.85","Bom"
"Mustang Mach1","0.7","0","0.1","0.6","0.825","Bom"
"Transit Minibus","0.2","0.7","0.8","0.2","0.85","Bom"
"Marick","0","0.6","0.8","0.4","0.875","Bom"
"Mustang Mach1","0.1","0.8","0.8","0.1","0.875","Bom"
"Ranger XL CD","0.4","0.3","0.3","0.1","0.85","Bom"
"Bronco Sport","0.3","0.8","0.3","0.2","0.875","Bom"
"Ranger","0","0","1","0.3","0.85","Bom"
"Transit Furgão","1","0.2","0.5","1","0.8","Bom"
"Transit Minibus","0.8","0.3","0.4","0.4","0.925","Bom"
"Transit Minibus","0.4","0.6","1","0","0.8","Bom"
"Bronco Sport","0.6","0.1","0.4","0.9","0.8","Bom"
"Territory","0","0.6","0.6","0.1","0.8","Bom"
"Territory","0.7","0.2","0.3","0.7","0.825","Bom"
"Marick","0.2","0.5","0.7","0.2","0.9","Bom"
"Transit Furgão","0","0.7","0.4","0.3","0.85","Bom"
"Transit Minibus","0.6","0.2","0.5","0.9","0.9","Bom"
"Marick","0.3","0.1","0.3","1","0.875","Bom"
"Territory","0.9","0.6","0.5","0.4","0.8","Bom"
"Ranger XL","0.5","1","0.6","0.1","0.9","Bom"
"Ranger XL","0","0.4","0.3","0.2","0.8","Bom"
"Transit Minibus","0.5","0.8","0.8","0","0.8","Bom"
"Transit Minibus","0","0.8","0.4","0.6","0.85","Bom"
"Marick","0.5","0.3","0.6","0.4","0.825","Bom"
"Mustang Mach1","0.4","0.1","0.4","0.8","0.8","Bom"
"Transit Minibus","0","0.9","0.9","0.4","0.8","Bom"
"Marick","1","0","0.8","0.1","0.8","Bom"
"Ranger XL CD","0.7","0.6","0.5","0.8","0.825","Bom"
"Transit Minibus","1","0","0.3","0.2","0.8","Bom"
"Bronco Sport","1","0.4","1","0.6","0.825","Bom"
"Bronco Sport","0.7","0.3","0.3","0.8","0.8","Bom"
"Ranger XL CD","0","0.7","0.6","0.3","0.9","Bom"
"Mustang Mach1","0.9","0.8","0.4","0.3","0.9","Bom"
"Territory","0.7","0.1","0","0.8","0.8","Bom"
"Transit Furgão","0.3","0.1","0.2","1","0.85","Bom"
"Territory","0.5","0.4","0.9","1","0.8","Bom"
"Ranger XL CD","0.3","0.7","0.1","0.7","0.8","Bom"
"Marick","0.2","0.7","0.4","0.6","0.8","Bom"
"Ranger XL","0","0.9","0.2","0.4","0.8","Bom"
"Transit Furgão","1","1","0","0.7","0.95","Bom"
"Transit Furgão","0","0.7","0.7","0.9","0.8","Bom"
"Transit Furgão","0.7","0.9","0.7","0.7","0.8","Bom"
"Ranger","0.9","0.4","0.9","0.7","0.825","Bom"
"Territory","0.3","0.8","0.8","1","0.8","Bom"
"Bronco Sport","1","0.1","0.5","0.4","0.85","Bom"
"Mustang Mach1","0.7","0.9","0.7","0","0.8","Bom"
"Mustang Mach1","0.7","0.3","0.8","0.5","0.9","Bom"
"Ranger XL","1","0.5","0.1","0.2","0.875","Bom"
"Ranger XL","0.1","0.1","0.7","0.9","0.825","Bom"
"Ranger","0.1","0.9","0.9","0.5","0.8","Bom"
"Ranger XL","0.1","0.4","0.6","0.9","0.85","Bom"
"Bronco Sport","0.7","0.8","0.3","0.2","0.85","Bom"
"Mustang Mach1","0.6","0.4","0.5","0.7","0.825","Bom"
"Ranger XL CD","0.8","0.4","0.5","0.9","0.85","Bom"
"Mustang Mach1","0.3","0.8","0.5","0.3","0.95","Bom"
"Transit Furgão","0","0.5","0","0.6","0.8","Bom"
"Transit Minibus","0.8","1","0.6","1","0.875","Bom"
"Ranger XL CD","0","0.9","0.3","0.1","0.85","Bom"
"Ranger XL","0.7","0.2","0.2","0.1","0.8","Bom"
"Transit Minibus","0.4","1","0.5","0.9","0.8","Bom"
"Transit Furgão","0.8","0.8","0","0.8","0.825","Bom"
"Ranger XL","0.2","0.2","0.5","1","0.9","Bom"
"Transit Furgão","0.9","0.7","0.9","0.1","0.875","Bom"
"Marick","0.7","0.7","0.2","0.3","0.875","Bom"
"Transit Furgão","0.7","0.4","0.1","0","0.8","Bom"
"Ranger","1","0.7","0.2","0","0.875","Bom"
"Transit Minibus","0.1","0.6","0.4","0.5","0.85","Bom"
"Transit Minibus","1","0.9","0.4","0.2","0.85","Bom"
"Transit Minibus","0.1","0.2","0.3","0.8","0.8","Bom"
"Transit Furgão","0.7","0.3","0.8","0.5","0.8","Bom"
"Territory","0","0.5","0.1","0.1","0.875","Bom"
"Mustang Mach1","0","0.8","0.8","0.2","0.825","Bom"
"Ranger XL","0.4","0.3","0.6","0","0.825","Bom"
"Ranger XL CD","0","1","0.8","0.9","0.825","Bom"
"Territory","0","0.5","0.2","0.5","0.825","Bom"
"Ranger","0.8","0.2","0.3","0.9","0.85","Bom"
"Transit Minibus","0.5","1","0.8","0.7","0.825","Bom"
"Ranger XL","0.1","0.5","0.1","0.7","0.925","Bom"
"Ranger XL CD","0.1","0.7","0.9","0.1","0.825","Bom"
"Marick","0.4","0.2","0.8","0.7","0.825","Bom"
"Ranger XL CD","0.5","1","0.8","0.8","0.9","Bom"
"Ranger","0.9","0.5","0.7","0.4","0.825","Bom"
"Transit Furgão","0","0.6","0.9","0.7","0.975","Bom"
"Bronco Sport","1","0.8","0.3","0.4","0.825","Bom"
"Ranger XL CD","0","0.3","0.4","0.9","0.95","Bom"
"Mustang Mach1","0.5","0.6","1","0.1","0.925","Bom"
"Territory","1","0.4","0.1","1","0.8","Bom"
"Bronco Sport","0.7","0.2","0.6","1","0.8","Bom"
"Territory","0","0.8","0.6","0","0.8","Bom"
"Ranger XL","0.3","0.3","0.3","1","0.8","Bom"
"Ranger XL","0.8","0.8","0.9","0.3","0.8","Bom"
"Ranger","0.3","0","0.8","0.3","0.85","Bom"
"Mustang Mach1","0.7","0","0.3","0.9","0.8","Bom"
"Transit Furgão","1","0.8","0.1","0.6","0.825","Bom"
"Bronco Sport","0.5","0","0.5","0.7","0.8","Bom"
"Ranger XL","0.8","0.2","1","0.3","0.8","Bom"
"Mustang Mach1","0.6","0.2","0.4","0.7","0.95","Bom"
"Bronco Sport","0.4","0.3","0.4","0.7","0.875","Bom"
"Ranger","0.8","1","0.7","0.8","0.95","Bom"
"Transit Furgão","0.4","0.5","0.2","0.1","0.825","Bom"
"Ranger XL","0.2","0.6","0.6","1","0.825","Bom"
"Marick","1","0.1","1","0.1","0.825","Bom"
"Ranger","0.5","0.4","0.7","0.7","0.825","Bom"
"Ranger XL","0.9","0","0.5","0.2","0.825","Bom"
"Ranger XL","0.4","0.4","0.5","0","0.8","Bom"
"Ranger","0.6","0.4","0.7","0","0.875","Bom"
"Transit Furgão","0.6","0.3","0.8","0.3","0.875","Bom"
"Ranger XL CD","0.5","0.3","0.1","1","0.8","Bom"
"Territory","0.4","0.8","0.3","0","0.8","Bom"
"Marick","0.4","0.1","0.3","0.5","0.8","Bom"
"Territory","0.1","0.5","0.2","0.2","0.85","Bom"
"Mustang Mach1","0.1","1","0.2","0.9","0.825","Bom"
"Ranger XL","1","0.5","0","0.1","0.825","Bom"
"Territory","0.6","1","0.4","0.8","0.875","Bom"
"Transit Minibus","0.5","0.6","0","0.1","0.85","Bom"
"Mustang Mach1","0.4","0.8","0.2","0.4","0.85","Bom"
"Ranger XL CD","0.3","0.8","0.8","0.5","0.8","Bom"
"Ranger XL","0.1","0","0.4","0.4","0.825","Bom"
"Mustang Mach1","0.6","1","0.3","0.5","0.8","Bom"
"Ranger XL CD","0.2","1","0.1","1","0.8","Bom"
"Transit Furgão","0","0.6","0.3","0.7","0.8","Bom"
"Ranger XL CD","0.6","0.7","0.4","0.5","0.85","Bom"
"Transit Furgão","0.5","0.8","0.6","0.7","0.875","Bom"
"Ranger XL","0.6","0.1","1","0.5","0.85","Bom"
"Ranger","0.3","0.2","1","0.6","0.8","Bom"
"Territory","0.6","0.3","1","0.7","0.875","Bom"
"Mustang Mach1","1","0.6","0","0.4","0.825","Bom"
"Transit Furgão","0.8","0.6","0.6","0.7","0.85","Bom"
"Bronco Sport","0.4","0.3","0.9","0.5","0.8","Bom"
"Transit Minibus","0.9","1","0.2","0.4","0.9","Bom"
"Mustang Mach1","0.8","0.8","0.7","0","0.825","Bom"
"Transit Furgão","0","0.8","0.8","0.2","0.8","Bom"
"Ranger XL CD","0.5","0.4","0.5","0.9","0.825","Bom"
"Marick","0.2","0.6","0.1","0.7","0.825","Bom"
"Ranger XL","0.1","0.7","1","0.9","0.9","Bom"
"Transit Furgão","0.1","0.4","0.8","0.5","0.8","Bom"
"Bronco Sport","0.6","0.2","0.3","0.9","0.475","Ruim"
"Marick","0.3","0.9","0.1","0.9","0.5","Ruim"
"Transit Furgão","0.7","0.5","0","0.1","0.55","Ruim"
"Mustang Mach1","0.5","0.2","0.9","0.4","0.325","Ruim"
"Bronco Sport","1","0.4","0.1","0.7","0.5","Ruim"
"Mustang Mach1","0.3","0","0.5","0.7","0.55","Ruim"
"Mustang Mach1","0.9","0.4","0.6","1","0.375","Ruim"
"Mustang Mach1","0.9","1","0.4","0.4","0.6","Ruim"
"Ranger XL","0","0.4","0.1","1","0.525","Ruim"
"Mustang Mach1","0.5","0.5","0.7","0","0.375","Ruim"
"Transit Furgão","0.1","0.4","0.5","0.2","0.425","Ruim"
